time_start_sec,duration_sec,pitch,velocity,track,time_start_tick,duration_tick,instrument
0.0,0.15,67,100,Solo Harpsichord with 2 Manuals,0,120,Acoustic Grand Piano _ 2
0.15,0.15,66,100,Solo Harpsichord with 2 Manuals,120,120,Acoustic Grand Piano _ 2
0.3,0.45,67,100,Solo Harpsichord with 2 Manuals,240,360,Acoustic Grand Piano _ 2
0.75,0.15000000000000002,62,100,Solo Harpsichord with 2 Manuals,600,120,Acoustic Grand Piano _ 2
0.9,0.15000000000000002,64,100,Solo Harpsichord with 2 Manuals,720,120,Acoustic Grand Piano _ 2
1.05,0.1499999999999999,66,100,Solo Harpsichord with 2 Manuals,840,120,Acoustic Grand Piano _ 2
1.2,0.15000000000000013,67,100,Solo Harpsichord with 2 Manuals,960,120,Acoustic Grand Piano _ 2
1.35,0.1499999999999999,69,100,Solo Harpsichord with 2 Manuals,1080,120,Acoustic Grand Piano _ 2
1.5,0.15000000000000013,71,100,Solo Harpsichord with 2 Manuals,1200,120,Acoustic Grand Piano _ 2
1.6500000000000001,0.1499999999999999,73,100,Solo Harpsichord with 2 Manuals,1320,120,Acoustic Grand Piano _ 2
1.8,0.1499999999999999,74,100,Solo Harpsichord with 2 Manuals,1440,120,Acoustic Grand Piano _ 2
1.95,0.15000000000000013,73,100,Solo Harpsichord with 2 Manuals,1560,120,Acoustic Grand Piano _ 2
2.1,0.4500000000000002,74,100,Solo Harpsichord with 2 Manuals,1680,360,Acoustic Grand Piano _ 2
2.5500000000000003,0.1499999999999999,69,100,Solo Harpsichord with 2 Manuals,2040,120,Acoustic Grand Piano _ 2
2.7,0.1499999999999999,71,100,Solo Harpsichord with 2 Manuals,2160,120,Acoustic Grand Piano _ 2
2.85,0.1499999999999999,73,100,Solo Harpsichord with 2 Manuals,2280,120,Acoustic Grand Piano _ 2
3.0,0.1499999999999999,74,100,Solo Harpsichord with 2 Manuals,2400,120,Acoustic Grand Piano _ 2
3.15,0.15000000000000036,76,100,Solo Harpsichord with 2 Manuals,2520,120,Acoustic Grand Piano _ 2
3.3000000000000003,0.1499999999999999,78,100,Solo Harpsichord with 2 Manuals,2640,120,Acoustic Grand Piano _ 2
3.45,0.1499999999999999,74,100,Solo Harpsichord with 2 Manuals,2760,120,Acoustic Grand Piano _ 2
3.6,0.1499999999999999,79,100,Solo Harpsichord with 2 Manuals,2880,120,Acoustic Grand Piano _ 2
3.75,0.1499999999999999,78,100,Solo Harpsichord with 2 Manuals,3000,120,Acoustic Grand Piano _ 2
3.9,0.4500000000000006,79,100,Solo Harpsichord with 2 Manuals,3120,360,Acoustic Grand Piano _ 2
4.3500000000000005,0.14999999999999947,78,100,Solo Harpsichord with 2 Manuals,3480,120,Acoustic Grand Piano _ 2
4.5,0.15000000000000036,76,100,Solo Harpsichord with 2 Manuals,3600,120,Acoustic Grand Piano _ 2
4.65,0.14999999999999947,74,100,Solo Harpsichord with 2 Manuals,3720,120,Acoustic Grand Piano _ 2
4.8,0.15000000000000036,73,100,Solo Harpsichord with 2 Manuals,3840,120,Acoustic Grand Piano _ 2
4.95,0.15000000000000036,76,100,Solo Harpsichord with 2 Manuals,3960,120,Acoustic Grand Piano _ 2
5.1000000000000005,0.14999999999999947,69,100,Solo Harpsichord with 2 Manuals,4080,120,Acoustic Grand Piano _ 2
5.25,0.15000000000000036,67,100,Solo Harpsichord with 2 Manuals,4200,120,Acoustic Grand Piano _ 2
5.4,0.14999999999999947,66,100,Solo Harpsichord with 2 Manuals,4320,120,Acoustic Grand Piano _ 2
5.55,0.15000000000000036,64,100,Solo Harpsichord with 2 Manuals,4440,120,Acoustic Grand Piano _ 2
5.7,0.15000000000000036,62,100,Solo Harpsichord with 2 Manuals,4560,120,Acoustic Grand Piano _ 2
5.8500000000000005,0.14999999999999947,61,100,Solo Harpsichord with 2 Manuals,4680,120,Acoustic Grand Piano _ 2
6.0,0.15000000000000036,62,100,Solo Harpsichord with 2 Manuals,4800,120,Acoustic Grand Piano _ 2
6.15,0.14999999999999947,66,100,Solo Harpsichord with 2 Manuals,4920,120,Acoustic Grand Piano _ 2
6.3,0.15000000000000036,57,100,Solo Harpsichord with 2 Manuals,5040,120,Acoustic Grand Piano _ 2
6.45,0.15000000000000036,55,100,Solo Harpsichord with 2 Manuals,5160,120,Acoustic Grand Piano _ 2
6.6000000000000005,0.14999999999999947,54,100,Solo Harpsichord with 2 Manuals,5280,120,Acoustic Grand Piano _ 2
6.75,0.15000000000000036,57,100,Solo Harpsichord with 2 Manuals,5400,120,Acoustic Grand Piano _ 2
6.9,0.2999999999999998,50,100,Solo Harpsichord with 2 Manuals,5520,240,Acoustic Grand Piano _ 2
7.5,0.15000000000000036,74,100,Solo Harpsichord with 2 Manuals,6000,120,Acoustic Grand Piano _ 2
7.65,0.14999999999999947,72,100,Solo Harpsichord with 2 Manuals,6120,120,Acoustic Grand Piano _ 2
7.8,0.2999999999999998,74,100,Solo Harpsichord with 2 Manuals,6240,240,Acoustic Grand Piano _ 2
8.1,0.3000000000000007,67,100,Solo Harpsichord with 2 Manuals,6480,240,Acoustic Grand Piano _ 2
8.4,0.3000000000000007,59,100,Solo Harpsichord with 2 Manuals,6720,240,Acoustic Grand Piano _ 2
8.700000000000001,0.29999999999999893,74,100,Solo Harpsichord with 2 Manuals,6960,240,Acoustic Grand Piano _ 2
9.3,0.15000000000000036,76,100,Solo Harpsichord with 2 Manuals,7440,120,Acoustic Grand Piano _ 2
9.450000000000001,0.14999999999999858,74,100,Solo Harpsichord with 2 Manuals,7560,120,Acoustic Grand Piano _ 2
9.6,0.3000000000000007,76,100,Solo Harpsichord with 2 Manuals,7680,240,Acoustic Grand Piano _ 2
9.9,0.3000000000000007,69,100,Solo Harpsichord with 2 Manuals,7920,240,Acoustic Grand Piano _ 2
10.200000000000001,0.29999999999999893,60,100,Solo Harpsichord with 2 Manuals,8160,240,Acoustic Grand Piano _ 2
10.5,0.3000000000000007,76,100,Solo Harpsichord with 2 Manuals,8400,240,Acoustic Grand Piano _ 2
11.1,0.15000000000000036,78,100,Solo Harpsichord with 2 Manuals,8880,120,Acoustic Grand Piano _ 2
11.25,0.15000000000000036,76,100,Solo Harpsichord with 2 Manuals,9000,120,Acoustic Grand Piano _ 2
11.4,0.3000000000000007,78,100,Solo Harpsichord with 2 Manuals,9120,240,Acoustic Grand Piano _ 2
11.700000000000001,0.29999999999999893,74,100,Solo Harpsichord with 2 Manuals,9360,240,Acoustic Grand Piano _ 2
12.0,0.3000000000000007,81,100,Solo Harpsichord with 2 Manuals,9600,240,Acoustic Grand Piano _ 2
12.3,0.5999999999999996,72,100,Solo Harpsichord with 2 Manuals,9840,480,Acoustic Grand Piano _ 2
12.9,0.3000000000000007,71,100,Solo Harpsichord with 2 Manuals,10320,240,Acoustic Grand Piano _ 2
13.35,0.15000000000000036,67,100,Solo Harpsichord with 2 Manuals,10680,120,Acoustic Grand Piano _ 2
13.5,0.15000000000000036,71,100,Solo Harpsichord with 2 Manuals,10800,120,Acoustic Grand Piano _ 2
13.65,0.15000000000000036,74,100,Solo Harpsichord with 2 Manuals,10920,120,Acoustic Grand Piano _ 2
13.8,0.15000000000000036,79,100,Solo Harpsichord with 2 Manuals,11040,120,Acoustic Grand Piano _ 2
13.950000000000001,0.14999999999999858,74,100,Solo Harpsichord with 2 Manuals,11160,120,Acoustic Grand Piano _ 2
14.1,0.15000000000000036,79,100,Solo Harpsichord with 2 Manuals,11280,120,Acoustic Grand Piano _ 2
14.25,0.15000000000000036,81,100,Solo Harpsichord with 2 Manuals,11400,120,Acoustic Grand Piano _ 2
14.4,0.15000000000000036,83,100,Solo Harpsichord with 2 Manuals,11520,120,Acoustic Grand Piano _ 2
14.55,0.15000000000000036,79,100,Solo Harpsichord with 2 Manuals,11640,120,Acoustic Grand Piano _ 2
14.700000000000001,0.14999999999999858,74,100,Solo Harpsichord with 2 Manuals,11760,120,Acoustic Grand Piano _ 2
14.85,0.15000000000000036,71,100,Solo Harpsichord with 2 Manuals,11880,120,Acoustic Grand Piano _ 2
15.0,0.15000000000000036,67,100,Solo Harpsichord with 2 Manuals,12000,120,Acoustic Grand Piano _ 2
15.15,0.15000000000000036,71,100,Solo Harpsichord with 2 Manuals,12120,120,Acoustic Grand Piano _ 2
15.3,0.15000000000000036,74,100,Solo Harpsichord with 2 Manuals,12240,120,Acoustic Grand Piano _ 2
15.450000000000001,0.14999999999999858,79,100,Solo Harpsichord with 2 Manuals,12360,120,Acoustic Grand Piano _ 2
15.6,0.15000000000000036,83,100,Solo Harpsichord with 2 Manuals,12480,120,Acoustic Grand Piano _ 2
15.75,0.15000000000000036,79,100,Solo Harpsichord with 2 Manuals,12600,120,Acoustic Grand Piano _ 2
15.9,0.15000000000000036,78,100,Solo Harpsichord with 2 Manuals,12720,120,Acoustic Grand Piano _ 2
16.05,0.14999999999999858,76,100,Solo Harpsichord with 2 Manuals,12840,120,Acoustic Grand Piano _ 2
16.2,0.15000000000000213,81,100,Solo Harpsichord with 2 Manuals,12960,120,Acoustic Grand Piano _ 2
16.35,0.14999999999999858,76,100,Solo Harpsichord with 2 Manuals,13080,120,Acoustic Grand Piano _ 2
16.5,0.14999999999999858,73,100,Solo Harpsichord with 2 Manuals,13200,120,Acoustic Grand Piano _ 2
16.65,0.15000000000000213,69,100,Solo Harpsichord with 2 Manuals,13320,120,Acoustic Grand Piano _ 2
16.8,0.14999999999999858,66,100,Solo Harpsichord with 2 Manuals,13440,120,Acoustic Grand Piano _ 2
16.95,0.15000000000000213,69,100,Solo Harpsichord with 2 Manuals,13560,120,Acoustic Grand Piano _ 2
17.1,0.14999999999999858,73,100,Solo Harpsichord with 2 Manuals,13680,120,Acoustic Grand Piano _ 2
17.25,0.15000000000000213,76,100,Solo Harpsichord with 2 Manuals,13800,120,Acoustic Grand Piano _ 2
17.400000000000002,0.14999999999999858,81,100,Solo Harpsichord with 2 Manuals,13920,120,Acoustic Grand Piano _ 2
17.55,0.14999999999999858,78,100,Solo Harpsichord with 2 Manuals,14040,120,Acoustic Grand Piano _ 2
17.7,0.15000000000000213,76,100,Solo Harpsichord with 2 Manuals,14160,120,Acoustic Grand Piano _ 2
17.85,0.14999999999999858,74,100,Solo Harpsichord with 2 Manuals,14280,120,Acoustic Grand Piano _ 2
18.0,0.15000000000000213,79,100,Solo Harpsichord with 2 Manuals,14400,120,Acoustic Grand Piano _ 2
18.150000000000002,0.14999999999999858,74,100,Solo Harpsichord with 2 Manuals,14520,120,Acoustic Grand Piano _ 2
18.3,0.14999999999999858,71,100,Solo Harpsichord with 2 Manuals,14640,120,Acoustic Grand Piano _ 2
18.45,0.15000000000000213,67,100,Solo Harpsichord with 2 Manuals,14760,120,Acoustic Grand Piano _ 2
18.6,0.14999999999999858,64,100,Solo Harpsichord with 2 Manuals,14880,120,Acoustic Grand Piano _ 2
18.75,0.15000000000000213,67,100,Solo Harpsichord with 2 Manuals,15000,120,Acoustic Grand Piano _ 2
18.900000000000002,0.14999999999999858,71,100,Solo Harpsichord with 2 Manuals,15120,120,Acoustic Grand Piano _ 2
19.05,0.14999999999999858,74,100,Solo Harpsichord with 2 Manuals,15240,120,Acoustic Grand Piano _ 2
19.2,0.15000000000000213,79,100,Solo Harpsichord with 2 Manuals,15360,120,Acoustic Grand Piano _ 2
19.35,0.14999999999999858,78,100,Solo Harpsichord with 2 Manuals,15480,120,Acoustic Grand Piano _ 2
19.5,0.15000000000000213,76,100,Solo Harpsichord with 2 Manuals,15600,120,Acoustic Grand Piano _ 2
19.650000000000002,0.14999999999999858,74,100,Solo Harpsichord with 2 Manuals,15720,120,Acoustic Grand Piano _ 2
19.8,0.14999999999999858,73,100,Solo Harpsichord with 2 Manuals,15840,120,Acoustic Grand Piano _ 2
19.95,0.15000000000000213,67,100,Solo Harpsichord with 2 Manuals,15960,120,Acoustic Grand Piano _ 2
20.1,0.14999999999999858,64,100,Solo Harpsichord with 2 Manuals,16080,120,Acoustic Grand Piano _ 2
20.25,0.15000000000000213,61,100,Solo Harpsichord with 2 Manuals,16200,120,Acoustic Grand Piano _ 2
20.400000000000002,0.14999999999999858,57,100,Solo Harpsichord with 2 Manuals,16320,120,Acoustic Grand Piano _ 2
20.55,0.14999999999999858,61,100,Solo Harpsichord with 2 Manuals,16440,120,Acoustic Grand Piano _ 2
20.7,0.15000000000000213,64,100,Solo Harpsichord with 2 Manuals,16560,120,Acoustic Grand Piano _ 2
20.85,0.14999999999999858,67,100,Solo Harpsichord with 2 Manuals,16680,120,Acoustic Grand Piano _ 2
21.0,0.15000000000000213,73,100,Solo Harpsichord with 2 Manuals,16800,120,Acoustic Grand Piano _ 2
21.150000000000002,0.14999999999999858,76,100,Solo Harpsichord with 2 Manuals,16920,120,Acoustic Grand Piano _ 2
21.3,0.14999999999999858,74,100,Solo Harpsichord with 2 Manuals,17040,120,Acoustic Grand Piano _ 2
21.45,0.15000000000000213,73,100,Solo Harpsichord with 2 Manuals,17160,120,Acoustic Grand Piano _ 2
21.6,0.3000000000000007,74,100,Solo Harpsichord with 2 Manuals,17280,240,Acoustic Grand Piano _ 2
21.900000000000002,0.29999999999999716,54,100,Solo Harpsichord with 2 Manuals,17520,240,Acoustic Grand Piano _ 2
22.2,0.3000000000000007,54,100,Solo Harpsichord with 2 Manuals,17760,240,Acoustic Grand Piano _ 2
22.5,0.3000000000000007,69,100,Solo Harpsichord with 2 Manuals,18000,240,Acoustic Grand Piano _ 2
22.8,0.3000000000000007,74,100,Solo Harpsichord with 2 Manuals,18240,240,Acoustic Grand Piano _ 2
23.1,0.3000000000000007,78,100,Solo Harpsichord with 2 Manuals,18480,240,Acoustic Grand Piano _ 2
23.400000000000002,0.29999999999999716,71,100,Solo Harpsichord with 2 Manuals,18720,240,Acoustic Grand Piano _ 2
23.7,0.3000000000000007,55,100,Solo Harpsichord with 2 Manuals,18960,240,Acoustic Grand Piano _ 2
24.0,0.3000000000000007,55,100,Solo Harpsichord with 2 Manuals,19200,240,Acoustic Grand Piano _ 2
24.3,0.3000000000000007,71,100,Solo Harpsichord with 2 Manuals,19440,240,Acoustic Grand Piano _ 2
24.6,0.3000000000000007,76,100,Solo Harpsichord with 2 Manuals,19680,240,Acoustic Grand Piano _ 2
24.900000000000002,0.29999999999999716,79,100,Solo Harpsichord with 2 Manuals,19920,240,Acoustic Grand Piano _ 2
25.2,0.15000000000000213,73,100,Solo Harpsichord with 2 Manuals,20160,120,Acoustic Grand Piano _ 2
25.35,0.14999999999999858,76,100,Solo Harpsichord with 2 Manuals,20280,120,Acoustic Grand Piano _ 2
25.5,0.15000000000000213,69,100,Solo Harpsichord with 2 Manuals,20400,120,Acoustic Grand Piano _ 2
25.650000000000002,0.14999999999999858,67,100,Solo Harpsichord with 2 Manuals,20520,120,Acoustic Grand Piano _ 2
25.8,0.14999999999999858,66,100,Solo Harpsichord with 2 Manuals,20640,120,Acoustic Grand Piano _ 2
25.95,0.15000000000000213,69,100,Solo Harpsichord with 2 Manuals,20760,120,Acoustic Grand Piano _ 2
26.1,0.14999999999999858,74,100,Solo Harpsichord with 2 Manuals,20880,120,Acoustic Grand Piano _ 2
26.25,0.15000000000000213,78,100,Solo Harpsichord with 2 Manuals,21000,120,Acoustic Grand Piano _ 2
26.400000000000002,0.14999999999999858,79,100,Solo Harpsichord with 2 Manuals,21120,120,Acoustic Grand Piano _ 2
26.55,0.14999999999999858,76,100,Solo Harpsichord with 2 Manuals,21240,120,Acoustic Grand Piano _ 2
26.7,0.15000000000000213,74,100,Solo Harpsichord with 2 Manuals,21360,120,Acoustic Grand Piano _ 2
26.85,0.14999999999999858,73,100,Solo Harpsichord with 2 Manuals,21480,120,Acoustic Grand Piano _ 2
27.0,0.15000000000000213,78,100,Solo Harpsichord with 2 Manuals,21600,120,Acoustic Grand Piano _ 2
27.150000000000002,0.14999999999999858,74,100,Solo Harpsichord with 2 Manuals,21720,120,Acoustic Grand Piano _ 2
27.3,0.14999999999999858,73,100,Solo Harpsichord with 2 Manuals,21840,120,Acoustic Grand Piano _ 2
27.45,0.15000000000000213,71,100,Solo Harpsichord with 2 Manuals,21960,120,Acoustic Grand Piano _ 2
27.6,0.14999999999999858,69,100,Solo Harpsichord with 2 Manuals,22080,120,Acoustic Grand Piano _ 2
27.75,0.15000000000000213,67,100,Solo Harpsichord with 2 Manuals,22200,120,Acoustic Grand Piano _ 2
27.900000000000002,0.14999999999999858,66,100,Solo Harpsichord with 2 Manuals,22320,120,Acoustic Grand Piano _ 2
28.05,0.14999999999999858,64,100,Solo Harpsichord with 2 Manuals,22440,120,Acoustic Grand Piano _ 2
28.2,0.6000000000000014,62,100,Solo Harpsichord with 2 Manuals,22560,480,Acoustic Grand Piano _ 2
28.8,0.14999999999999858,67,100,Solo Harpsichord with 2 Manuals,23040,120,Acoustic Grand Piano _ 2
28.95,0.15000000000000213,66,100,Solo Harpsichord with 2 Manuals,23160,120,Acoustic Grand Piano _ 2
29.1,0.4499999999999993,67,100,Solo Harpsichord with 2 Manuals,23280,360,Acoustic Grand Piano _ 2
29.55,0.14999999999999858,62,100,Solo Harpsichord with 2 Manuals,23640,120,Acoustic Grand Piano _ 2
29.7,0.15000000000000213,64,100,Solo Harpsichord with 2 Manuals,23760,120,Acoustic Grand Piano _ 2
